,dates,Unnamed: 0,rating,month,year,moving
191,2018-09-19,998.0,5.0,9.0,2018.0,4.283333333333333
192,2018-09-20,408.5,3.0,9.0,2018.0,4.083333333333334
193,2018-09-21,638.25,4.5,9.0,2018.0,4.333333333333334
194,2018-09-22,638.25,4.5,9.0,2018.0,4.333333333333334
195,2018-09-23,401.0,5.0,9.0,2018.0,4.333333333333334
196,2018-09-24,586.0,1.6666666666666667,9.0,2018.0,4.166666666666666
197,2018-09-25,398.0,2.0,9.0,2018.0,3.9166666666666665
198,2018-09-26,1255.0,5.0,9.0,2018.0,3.9666666666666663
199,2018-09-27,956.5,5.0,9.0,2018.0,3.9666666666666663
200,2018-09-28,956.5,5.0,9.0,2018.0,3.9666666666666663
201,2018-09-29,1216.5,3.75,9.0,2018.0,3.8416666666666663
202,2018-09-30,955.0,5.0,9.0,2018.0,3.9916666666666663
203,2018-10-01,1056.0,4.5,10.0,2018.0,3.9416666666666664
204,2018-10-02,1033.0,5.0,10.0,2018.0,4.141666666666667
205,2018-10-03,1033.0,5.0,10.0,2018.0,4.141666666666667
206,2018-10-04,954.0,5.0,10.0,2018.0,4.191666666666666
207,2018-10-05,953.0,5.0,10.0,2018.0,4.191666666666666
208,2018-10-06,953.0,5.0,10.0,2018.0,4.191666666666666
209,2018-10-07,973.0,3.0,10.0,2018.0,4.325
210,2018-10-08,973.0,3.0,10.0,2018.0,4.325
211,2018-10-09,713.0,5.0,10.0,2018.0,4.625
212,2018-10-10,1046.3333333333333,4.666666666666667,10.0,2018.0,4.591666666666667
213,2018-10-11,1046.3333333333333,4.666666666666667,10.0,2018.0,4.591666666666667
214,2018-10-12,1046.3333333333333,4.666666666666667,10.0,2018.0,4.591666666666667
215,2018-10-13,1540.0,5.0,10.0,2018.0,4.591666666666667
216,2018-10-14,1540.0,5.0,10.0,2018.0,4.591666666666667
217,2018-10-15,1021.75,5.0,10.0,2018.0,4.716666666666667
218,2018-10-16,1021.75,5.0,10.0,2018.0,4.716666666666667
219,2018-10-17,2687.0,5.0,10.0,2018.0,4.716666666666667
220,2018-10-18,390.0,5.0,10.0,2018.0,4.766666666666667
221,2018-10-19,390.0,5.0,10.0,2018.0,4.766666666666667
222,2018-10-20,2686.0,5.0,10.0,2018.0,4.766666666666667
223,2018-10-21,670.0,4.5,10.0,2018.0,4.716666666666667
224,2018-10-22,959.25,3.75,10.0,2018.0,4.591666666666667
225,2018-10-23,959.25,3.75,10.0,2018.0,4.591666666666667
226,2018-10-24,959.25,3.75,10.0,2018.0,4.591666666666667
227,2018-10-25,1016.0,4.0,10.0,2018.0,4.691666666666666
228,2018-10-26,384.5,4.0,10.0,2018.0,4.591666666666667
229,2018-10-27,384.5,4.0,10.0,2018.0,4.591666666666667
230,2018-10-28,384.5,4.0,10.0,2018.0,4.591666666666667
231,2018-10-29,384.5,4.0,10.0,2018.0,4.591666666666667
232,2018-10-30,758.3333333333334,4.333333333333333,10.0,2018.0,4.558333333333334
233,2018-10-31,758.3333333333334,4.333333333333333,10.0,2018.0,4.558333333333334
234,2018-11-01,945.0,5.0,11.0,2018.0,4.558333333333334
235,2018-11-02,1012.3333333333334,4.333333333333333,11.0,2018.0,4.491666666666667
236,2018-11-03,1267.0,4.0,11.0,2018.0,4.3916666666666675
237,2018-11-04,1044.0,5.0,11.0,2018.0,4.3916666666666675
238,2018-11-05,1029.0,5.0,11.0,2018.0,4.3916666666666675
239,2018-11-06,1029.0,5.0,11.0,2018.0,4.3916666666666675
240,2018-11-07,378.0,5.0,11.0,2018.0,4.441666666666667
241,2018-11-08,1286.5,4.0,11.0,2018.0,4.466666666666667
242,2018-11-09,943.0,5.0,11.0,2018.0,4.566666666666667
243,2018-11-10,943.0,5.0,11.0,2018.0,4.566666666666667
244,2018-11-11,810.0,3.6666666666666665,11.0,2018.0,4.533333333333333
245,2018-11-12,810.0,3.6666666666666665,11.0,2018.0,4.533333333333333
246,2018-11-13,1040.5,4.5,11.0,2018.0,4.55
247,2018-11-14,1040.5,4.5,11.0,2018.0,4.55
248,2018-11-15,1333.0,3.6666666666666665,11.0,2018.0,4.416666666666666
249,2018-11-16,1333.0,3.6666666666666665,11.0,2018.0,4.416666666666666
250,2018-11-17,1333.0,3.6666666666666665,11.0,2018.0,4.416666666666666
251,2018-11-18,807.6666666666666,4.666666666666667,11.0,2018.0,4.449999999999999
252,2018-11-19,560.6666666666666,3.3333333333333335,11.0,2018.0,4.383333333333333
253,2018-11-20,560.6666666666666,3.3333333333333335,11.0,2018.0,4.383333333333333
